komentar,analisis
pls save raja,"Hasil analisis komentar-komentar tersebut adalah sebagai berikut:

1. Komentar 1: **Sentimen: Positif**. Alasan: Komentar ini menunjukkan keinginan untuk melindungi Raja Ampat, yang secara langsung terkait dengan pelestarian alam.

2. Komentar 2: **Sentimen: Negatif**. Alasan: Komentar ini mengkritik perusakan alam, terutama dengan menyebut ""rugi ilusi foto tambang nikel"" yang mungkin merujuk pada kerusakan lingkungan akibat aktivitas tambang.

3. Komentar 3: **Sentimen: Tidak dianalisis**. Alasan: Komentar kosong, tidak menyampaikan sentimen yang bersih.

4. Komentar 4: **Sentimen: Tidak relevan**. Alasan: Komentar ini terkait dengan menghapus komentar lain, bukan langganan atau reaksi terhadap isu kerusakan alam di Raja Ampat.

5. Komentar 5: **Sentimen: Negatif**. Alasan: Komentar ini menunjukkan frustrasi dan pernyataan yang bahwa Papua digunakan ""doang"" (hanya) tanpa manfaat yang kembali, yang mungkin merupakan reaksi terhadap kerusakan alam atau keuntungan ekonomis yang tidak dibagikan.

6. Komentar 6: **Sentimen: Negatif**. Alasan: Komentar ini mengkritik seseorang (dibatasi sebagai ""asn tolol"") dan meminta penghapusan komentar mereka, yang dapat diinterpretasikan sebagai kekurangan peduli terhadap isu yang dicatat.

7. Komentar 7: **Sentimen: Tidak dianalisis**. Alasan: Komentar ini berkaitan dengan komentar pribadi tentang penonton mungkin mengalami kesulitan untuk mengikuti konten, tanpa"
rugi ilusi foto tambang nikel buat ai,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini kurang relevan dengan konten video kerusakan alam di Raja Ampat, hanya menyebut ""enak"" tanpa konteks.

2. Komentar 2: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Konten Settingan. Alasan: Komentar ini menyampaikan kritik terhadap konten video tanpa membahas isu kerusakan alam, menekankan perilaku individu.

3. Komentar 3: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan kekecewaan terhadap perubahan teknologi yang menyebabkan kerusakan alam, spesifik untuk industri tambang di Belitung, tidak secara langsung berkaitan dengan Raja Ampat.

4. Komentar 4: Sentimen Negatif. Indikasi Buzzer: Ya. Topik: Konten Settingan. Alasan: Komentar ini menggunakan kata ""kontol"" sebagai tindakan kritikan tanpa berkaitan dengan isu kerusakan alam dalam video.

5. Komentar 5: Sentimen: Tidak Dapat Diukur. Indikasi Buzzer: Tidak. Topik: Tidak Relevan. Alasan: Komentar ini singkat dan tidak menyentuh isu kerusakan alam atau pelestarian.

6. Komentar 6: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: Kerusakan Alam. Alasan: Komentar ini menunjukkan ketidakpeduliannya terhadap masalah serius seperti kerusakan alam dengan menggambarkan seseorang sebagai ""tolol"" (stupid).

7. Komentar"
,"1. Komentar 1: Sentimen Negatif. Ini menunjukkan kekurangan peduli dengan masalah alam, karena komen tersebut menciptakan gambaran bahwa orang ""siap pikir pintar"" tidak dapat membantu. Indikasi buzzer: Tidak, karena komen tidak langsung membahas kerusakan alam. Topik: tidak relevan.

2. Komentar 2: Sentimen Negatif. Komen ini mengkritik dan menyalahkan, sifat yang tidak membantu dalam pelestarian alam. Indikasi buzzer: Tidak, komen ini menggunakan sarakan untuk mencari perangkap, bukan menyebutkan kerusakan alam. Topik: isu sosial.

3. Komentar 3: Sentimen Tidak Relevan. Komen ini berfokus pada elemen game dan bonus, tanpa membahas kerusakan alam. Indikasi buzzer: Tidak, komen tidak berkaitan dengan topik kerusakan alam. Topik: konten settingan.

4. Komentar 4: Sentimen Negatif. Komen ini menggambarkan kehilangan yang besar, tanpa membahas kerusakan alam atau pelestarian. Indikasi buzzer: Tidak, komen tidak berkaitan dengan topik kerusakan alam. Topik: isu sosial.

5. Komentar 5: Sentimen Tidak Relevan. Komen ini mengungkapkan keinginan untuk tidak melihat video, tanpa membahas kerusakan alam. Indikasi buzzer: Tidak, komen tidak berkaitan dengan topik kerusakan alam. Topik: tidak relevan.

6. Komentar 6: Sentimen Tidak Relevan. Komen ini menunjukkan nama seseorang tanpa membahas kerusakan alam. Indikasi buzzer: Tidak, komen tidak berkaitan"
komen pin hapus kah,"1. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: kerusakan alam / isu sosial; Alasan: Komentar ini menyalahkan pelestarian alam dengan mengatakan bahwa kerusakan alam terjadi karena faktor ekonomi dan politik, dan tidak menghargai usaha konservasi.

2. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: konten settingan; Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat, melainkan mengkritik konten video atau settingan.

3. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: kerusakan alam / isu sosial; Alasan: Komentar ini menggambarkan kesulitan ekonomis dalam melakukan konservasi, menunjukkan kekurangan sumber daya untuk melakukan pelestarian alam.

4. Sentimen: Negatif; Indikasi Buzzer: Tidak; Topik: kerusakan alam / isu sosial; Alasan: Komentar ini menunjukkan kesulitan dalam mengurangi kerusakan alam karena fokus pada keuntungan ekonomi lebih diatas pelestarian alam.

5. Sentimen: Positif; Indikasi Buzzer: Tidak; Topik: kerusakan alam; Alasan: Komentar ini menunjukkan keindahan alam Raja Ampat, yang bisa diinterpreti sebagai kepedulian terhadap pelestarian alam.

6. Sentimen: Positif; Indikasi Buzzer: Tidak; Topik: konten settingan; Alasan: Komentar ini menunjukkan kepuasan dengan konten video, yang bisa dianggap sebagai positif terhadap upaya mendorong pelestarian alam.

7. Sentimen: Negatif; Indikasi Buzzer: Tidak"
dah papua lu merdeka gw ikhlas gw ngerasain elu dimanfaatin doang,"1. Komentar 1: Sentimen Negatif. Alasan: Komentar ini menunjukkan kecemasan dan kekesalahan terhadap mafia yang menyusul kerusakan alam di Raja Ampat, tanpa membahas isu pelestarian secara langsung. Indikasi buzzer: Tidak. Topik: Kerusakan alam, isu sosial.

2. Komentar 2: Sentimen Tidak Relevan. Alasan: Komentar ini fokus pada perubahan pakaian seorang individu, tidak berkaitan dengan kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak. Topik: Konten settingan.

3. Komentar 3: Sentimen Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan keinginan untuk menyalahkan atau mengkritik seseorang yang diduga terlibat dalam peristiwa yang menyebabkan kerusakan alam. Indikasi buzzer: Tidak. Topik: Kerusakan alam.

4. Komentar 4: Sentimen Tidak Relevan. Alasan: Komentar ini berkaitan dengan izin masuk ke tempat tertentu dan tidak berkaitan dengan kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak. Topik: Konten settingan.

5. Komentar 5: Sentimen Tidak Relevan. Komentar ""rem"" tidak memberikan tanggapan atau pendapat terhadap kerusakan alam di Raja Ampat. Indikasi buzzer: Tidak. Topik: Tidak relevan.

6. Komentar 6: Sentimen Negatif. Alasan: Komentar ini mengungkapkan kebodohan atau kebimbangan terhadap individu yang diduga tidak pintar. Meskipun tidak menyebut kerusakan alam secara langsung, ini menunjukkan kekurangan daya tarik m"
yahh si asn tolol hapus komentarnyaaa malu ciyaaaaa,"1. Sentimen: Negatif. Alasan: Komentar ini menunjukkan kritikan terhadap pertambangan yang menyebabkan kerusakan alam, tetapi tanpa mengusulkan solusi atau kepedulian yang tepat. Topik: Kerusakan alam. Buzzer: Tidak.

2. Sentimen: Positif. Alasan: Komentar ini menunjukkan kebimbangan dan kepedulian terhadap keindahan Raja Ampat dan potensi educasi untuk orang awam. Topik: Kerusakan alam. Buzzer: Tidak.

3. Sentimen: Netral. Alasan: Komentar ini menggambarkan kesan visual yang menarik, tanpa mengusulkan isu alam atau sosial. Topik: Konten settingan. Buzzer: Tidak.

4. Sentimen: Positif. Alasan: Komentar menyatakan kesenangan dan kepuasan setelah mendapatkan informasi atau content baru. Topik: Isu sosial (dalam konteks suka sama suka). Buzzer: Tidak.

5. Sentimen: Negatif. Alasan: Komentar ini menunjukkan kekecewaan dan kehilangan harga diri karena tindakan yang dianggap tidak berperan. Topik: Isu sosial. Buzzer: Tidak.

6. Sentimen: Positif. Alasan: Komentar menghormati dan menguatkan visual atau desain thumbnail. Topik: Konten settingan. Buzzer: Tidak.

7. Sentimen: Negatif. Alasan: Komentar mengkritik secara sarcastis menteri atau pihak berwenang yang dianggap tidak peduli dengan kerusakan alam. Topik: Kerusakan alam. Buzzer: Tidak.

8. Sentimen: Negatif. Alasan: Komentar mengkritik kekurangan peduli dan sadarannya terhadap masalah lingkungan oleh para pemimp"
gue jamin si bahlil prabowo kerocokeroco nya nonton video,"1. Komentar 1: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini tidak berkaitan dengan kerusakan alam di Raja Ampat, meluru kepada percakapan politik dan logo baju.

2. Komentar 2: Sentimen: Tidak terdeklarasikan. Indikasi Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini terdiri hanya dari huruf ""wni"", tidak memberikan pengamatan atau sentimen terhadap kerusakan alam.

3. Komentar 3: Sentimen Negatif. Indikasi Buzzer: Tidak. Topik: kerusakan alam / isu sosial. Alasan: Komentar ini menyimpulkan bahwa ""kuasa si rusak Raja Jawa"" berperan dalam kerusakan Raja Ampat, menunjukkan kritikan terhadap pihak tertentu.

4. Komentar 4: Sentimen: Tidak terdeklarasikan. Indikasi Buzzer: Tidak. Topik: tidak relevan. Alasan: Komentar ini terdiri hanya dari nama ""mulyono mulyono"" dan tidak berkaitan dengan kerusakan alam di Raja Ampat.

5. Komentar 5: Sentimen: Tidak terdeklarasikan. Indikasi Buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini menyebutkan ""pecat kroni Jokowi"", yang berkaitan dengan isu politik dan korupsi, bukan langkah pelestarian alam.

6. Komentar 6: Sentimen: Tidak terdeklarasikan. Indikasi Buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini bertanya tentang sumber baju, tidak berkaitan dengan kerusakan alam.

7. Komentar 7: Sentimen"
gak komentar si asn tolol,"1. **Komentar 1**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: kerusakan alam / isu sosial. Alasan: Komentar ini menunjukkan kritikan terhadap tindakan Menteri Bahlil yang dianggap tidak berpihak kepada alam dan tidak mempertimbangkan konsekuensi dari tindakan menarik gas alam tanpa memiliki rencana alternatif.

2. **Komentar 2**: Sentimen: Tidak terdeteksi. Indikasi buzzer: Tidak. Topik: isu sosial. Alasan: Komentar ini seperti tidak berkaitan langsung dengan kerusakan alam di Raja Ampat. Ia menyebut ""salfok palu arit,"" yang mungkin isu lokal paling sederhana tanpa kaitan langsung dengan kerusakan alam.

3. **Komentar 3**: Sentimen: Negatif. Indikasi buzzer: Ya. Topik: isu sosial. Alasan: Komentar ini mengkritik korupsi dan kekayaan kroni sementara rakyat di daerah asli, seperti di Raja Ampat, mencarinya susah.

4. **Komentar 4**: Sentimen: Netral. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini terlihat sebagai reaksi kepada keadaan negatif, bukan komentar langsung tentang kerusakan alam.

5. **Komentar 5**: Sentimen: Positif. Indikasi buzzer: Tidak. Topik: konten settingan. Alasan: Komentar ini menyatakan ide untuk mengembangkan industri pariwisata berdasarkan keindahan alam, yang dapat diinterpretasikan sebagai dukungan untuk pelestarian alam.

6. **Komentar 6**: Sentimen: Tidak terde"
logo tuh,"1. **Komentar 1**: Sentimen: Negatif. Alasan: Komentar ini menunjukkan kecemasan dan kritisme terhadap situasi lingkungan Raja Ampat, di mana masyarakat aktif menyalahkan keterlibatan yang kurang, dan terkesan tidak peduli terhadap kerusakan lingkungan. Indikasi buzzer: Ya (karena kritikan dan kecemasan). Topik: kerusakan alam.

2. **Komentar 2**: Sentimen: Neutral. Alasan: Komentar ini mengajak untuk memahami efek kerusakan lingkungan secara langsung, tanpa menunjukkan sentimen positif atau negatif. Indikasi buzzer: Tidak. Topik: isu sosial (dalam konteks efek visual).

3. **Komentar 3**: Sentimen: Negatif. Alasan: Komentar ini mengekspresikan kekecewaan dengan tindakan yang tidak berpikir sederhana terhadap kerusakan lingkungan. Indikasi buzzer: Ya (karena kritikan). Topik: kerusakan alam.

4. **Komentar 4**: Sentimen: Negatif. Alasan: Komentar ini menyimpulkan bahwa video terkait dana dan keuntungan, tanpa menyebutkan isu lingkungan Raja Ampat secara langsung, tetapi bertujuan untuk menyebarkan pernyataan negatif. Indikasi buzzer: Ya (karena sifat kritis tanpa jelasnya topik). Topik: tidak relevan.

5. **Komentar 5**: Sentimen: Positif. Alasan: Komentar ini meminta pemerhatian dan wakil generasi muda dalam isu lingkungan Raja Ampat, menunjukkan kepedulian dan keinginan untuk solusi. Indikasi buzzer: Ya (karena permintaan solusi). Top"
wahabi lo gigi maju,"1. Komentar 1: Sentimen Negatif. Ini komentar yang mengkritik dan menghina, tanpa membahas isu alam Raja Ampat secara langsung. Indikasi buzzer: Tidak, tidak menunjukkan isu kerusakan alam. Topik: tidak relevan.

2. Komentar 2: Sentimen Negatif. Komentar ini menyangkal perkembangan negatif dengan fokus pada permainan politik dan korupsi, bukan kerusakan alam. Indikasi buzzer: Tidak, tidak menunjukkan kerusakan alam. Topik: isu sosial.

3. Komentar 3: Sentimen Negatif. Komentar ini mengingatkan atas perkembangan yang negatif, tanpa menyebutkan apa yang sebenarnya, sehingga tidak berfokus pada kerusakan alam. Indikasi buzzer: Tidak, tidak menunjukkan kerusakan alam. Topik: kerusakan alam.

4. Komentar 4: Sentimen Negatif. Komentar ini mengkritik berbagai isu, termasuk kerusakan alam, korupsi, dan ekonomi, tanpa berfokus pada satu topik. Indikasi buzzer: Tidak, tidak menunjukkan kerusakan alam secara eksplisit. Topik: isu sosial / ekonomi.

5. Komentar 5: Sentimen Negatif. Komentar ini menganggap seorang influencer sebagai ""orang kaya"" tanpa membahas kerusakan alam. Indikasi buzzer: Tidak, tidak menunjukkan kerusakan alam. Topik: konten settingan.

6. Komentar 6: Sentimen Rendah. Komentar ini membahas hal-hal teknis dan peraturan, tanpa memiliki sentimen kuat positif atau negatif terhadap kerusakan alam. Indikasi buz"
